open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2021-11-17,0.22,0.2386,0.22,0.22,88135,2021-11-17 23:59:59.999,19470.610000,15,4545,999.900000,0,24.23835125448028,-0.006034613191239241,-0.002238039119632582,-0.003796574071606659,0.29380950588857924,0.2601985,0.2265874941114208,0.018316428571428574,220102.85,-15.384615384615389,0.24142000000000002,0.0200609172272854
2021-11-18,0.23575,0.23575,0.205,0.22193,165122,2021-11-18 23:59:59.999,38245.239330,30,127280,29880.271900,0,28.13656440253071,-0.0072956685368535945,-0.0032589815348000794,-0.004036687002053515,0.291777311825019,0.25685749999999996,0.22193768817498094,0.018655714285714293,215802.95,-15.219467471444403,0.233934,0.018625098120546784
2021-11-19,0.222,0.23294,0.2,0.22735,304428,2021-11-19 23:59:59.999,67230.506630,28,2090,463.991700,0,31.39601139601139,-0.007821507012237827,-0.004178269780285404,-0.003643237231952423,0.29299225628134096,0.2557985,0.218604743718659,0.018246428571428577,217251.7,-12.341918568784696,0.22753199999999998,0.012036576340471353
2021-11-20,0.22735,0.23304,0.22735,0.22735,32704,2021-11-20 23:59:59.999,7495.716340,14,21338,4911.656240,0,29.983717143521744,-0.008136594433485356,-0.004974635625142714,-0.0031619588083426414,0.29247010299752224,0.25373100000000004,0.21499189700247784,0.017715714285714293,202747.95,-12.341918568784696,0.223326,0.0037569442370089063
2021-11-21,0.21,0.235,0.21,0.2275,9769,2021-11-21 23:59:59.999,2268.965000,16,1504,341.920000,0,30.972288580984255,-0.00827496583149881,-0.005637833529971205,-0.0026371323015276045,0.2912998771398934,0.25162650000000003,0.21195312286010665,0.01881285714285715,193045.25,-18.10360344144857,0.22482600000000003,0.0035905612374661673
2021-11-22,0.201,0.24,0.201,0.22,21171,2021-11-22 23:59:59.999,4638.581070,31,4372,979.403500,0,28.42578381933788,-0.008806561191363804,-0.006273982364597529,-0.002532578826766275,0.2898762788565811,0.24902649999999998,0.20817672114341884,0.018695714285714288,177038.65,-20.789227334917545,0.22482600000000003,0.0035905612374661673
2021-11-23,0.22,0.247,0.1965,0.22701,191661,2021-11-23 23:59:59.999,40918.161600,29,1232,270.222050,0,18.18295739348372,-0.008624957529643124,-0.00674560278285838,-0.0018793547467847432,0.2882364118417392,0.247077,0.20591758815826078,0.020942142857142857,177534.6,-15.722453222453222,0.22584200000000001,0.0032707139893293343
2021-11-24,0.22701,0.22701,0.2,0.2,1164943,2021-11-24 23:59:59.999,255406.727110,44,37000,7607.600000,0,13.591232671412513,-0.010297203519098769,-0.0074576445414396425,-0.0028395589776591262,0.28994001860914614,0.244149,0.1983579813908539,0.022067142857142858,218576.85,-22.887106724244283,0.220372,0.011818636554188229
2021-11-25,0.219,0.22761,0.219,0.21922,133098,2021-11-25 23:59:59.999,29527.444940,29,66957,15008.519470,0,28.681972789115633,-0.010106766254619759,-0.007988495699549923,-0.002118270555069836,0.2885561952438689,0.24211,0.1956638047561311,0.022726428571428568,220980.0,-15.476557680444165,0.21874599999999997,0.011159479378537071
2021-11-26,0.2214,0.2214,0.21922,0.21922,175946,2021-11-26 23:59:59.999,38590.574060,22,0,0.000000,0,31.347583643122675,-0.009840645959899474,-0.008359499852739802,-0.0014811461071596727,0.28653489125521864,0.2399825,0.19343010874478134,0.022167857142857145,226007.15,-15.476557680444165,0.21709,0.010099707916568378
2021-11-27,0.21922,0.225,0.19,0.21922,150063,2021-11-27 23:59:59.999,32222.536840,26,8100,1653.501000,0,31.347583643122675,-0.009518681808983048,-0.008591623599268348,-0.0009270582097147002,0.2844714020152372,0.23797549999999998,0.19147959798476277,0.02466785714285714,222247.65,-11.74007569047427,0.21693400000000002,0.010049421873918617
2021-11-28,0.21922,0.21922,0.21922,0.21922,236976,2021-11-28 23:59:59.999,51949.878720,12,0,0.000000,0,31.347583643122675,-0.009156933947046919,-0.00870479775107521,-0.0004521361959717099,0.2820411845778552,0.23596849999999997,0.1898958154221447,0.02466785714285714,208133.6,-0.3545454545454559,0.215376,0.008595445305508835
2021-11-29,0.21922,0.22151,0.21922,0.21922,38788,2021-11-29 23:59:59.999,8515.116410,9,0,0.000000,0,34.90995653073898,-0.008768355473520645,-0.008717519374672914,-5.083609884773063e-05,0.27519944771434945,0.23304,0.19088055228565054,0.023514285714285713,200361.8,-0.3545454545454559,0.21922,0.0
2021-11-30,0.21922,0.227,0.21922,0.21922,155663,2021-11-30 23:59:59.999,34165.633580,15,5232,1187.664000,0,49.428487690504106,-0.008363342844740856,-0.008646639143002392,0.00028329629826153585,0.26700477271593764,0.230114,0.19322322728406235,0.021739285714285714,204081.95,-1.2211057540665933,0.21922,0.0
2021-12-01,0.21922,0.22799,0.21922,0.21922,92108,2021-12-01 23:59:59.999,20557.427780,23,32457,7399.871430,0,49.428487690504106,-0.007950188343106152,-0.008507278318690109,0.0005570899755839576,0.2597813376654524,0.22760699999999998,0.19543266233454754,0.021037142857142855,198597.8,-3.5759841653837685,0.21922,0.0
2021-12-02,0.21922,0.2199,0.21922,0.2199,209567,2021-12-02 23:59:59.999,45941.343020,11,0,0.000000,0,48.4848484848485,-0.007484558929292395,-0.00830265143428486,0.0008180925049924639,0.2542528501736737,0.22563399999999997,0.19701514982632623,0.018889285714285713,208332.6,-3.2768858588079985,0.21935600000000002,0.00030410524493038933
2021-12-03,0.2199,0.2199,0.2199,0.2199,4935,2021-12-03 23:59:59.999,1085.206500,8,0,0.000000,0,43.94997563748579,-0.007034156836796285,-0.008048870158054437,0.0010147133212581524,0.24753794056043082,0.22366100000000003,0.19978405943956923,0.01653642857142857,186276.75,-3.340659340659339,0.21949199999999996,0.0003724513390957006
2021-12-04,0.2199,0.2199,0.163,0.18154,801701,2021-12-04 23:59:59.999,161560.684210,53,0,0.000000,0,27.07895526868809,-0.009498237450949604,-0.008338818891628396,-0.001159418559321208,0.24450002351713257,0.21977000000000002,0.19503997648286747,0.020194285714285713,216792.75,-17.48181818181818,0.21195599999999998,0.01700645994908975
2021-12-05,0.18154,0.18154,0.163,0.1675,415493,2021-12-05 23:59:59.999,70981.606470,41,6855,1162.193920,0,23.64259356879282,-0.012381980989647157,-0.009147619292503373,-0.0032343616971437835,0.24647633206495992,0.215726,0.18497566793504008,0.01973285714285714,231887.8,-26.214704198052942,0.20161199999999999,0.025226262505571313
2021-12-06,0.1675,0.19,0.163,0.163,27012,2021-12-06 23:59:59.999,4567.877630,12,4000,760.000000,0,24.282620465619928,-0.01483917154351247,-0.010286118908400524,-0.004553052635111946,0.25151285963047854,0.21287599999999998,0.1742391403695214,0.01887571428571429,220964.15,-18.500000000000004,0.19036800000000004,0.027812607213276372
2021-12-07,0.176,0.18277,0.16078,0.1806,55939,2021-12-07 23:59:59.999,9525.705070,24,7868,1420.788400,0,30.88707684704721,-0.01524762104466107,-0.011278551252538207,-0.0039690697921228625,0.2519559148790712,0.21090599999999998,0.16985608512092878,0.016839285714285716,219354.35,-17.617005747650758,0.182508,0.02240837611251634
2021-12-08,0.1813,0.1813,0.1813,0.1813,5982,2021-12-08 23:59:59.999,1084.536600,2,5982,1084.536600,0,40.1682439537329,-0.015338784405909495,-0.01209068424400515,-0.0032481001619043444,0.25161398130365303,0.2088745,0.16613501869634692,0.014960000000000001,211397.35,-17.29769181644011,0.174788,0.008857862044533808
2021-12-09,0.17355,0.17355,0.17355,0.17355,20166,2021-12-09 23:59:59.999,3499.809300,9,0,0.000000,0,22.695205069950973,-0.01582999784431438,-0.012838610590603872,-0.002991387253710509,0.2507606434779689,0.2061845,0.1616083565220311,0.01354142857142857,197184.25,-20.832953197700935,0.17319,0.008015952844172216
2021-12-10,0.17355,0.17355,0.16679,0.16679,33848,2021-12-10 23:59:59.999,5744.843180,15,0,0.000000,0,20.9978979975661,-0.016554226125118726,-0.013581784275286933,-0.0029724418498317928,0.24985593593708771,0.20315650000000002,0.15645706406291232,0.013868571428571428,197241.45,-23.916613447678134,0.173048,0.008147163310011203
2021-12-11,0.16821,0.16821,0.16821,0.16821,540,2021-12-11 23:59:59.999,90.833400,3,0,0.000000,0,22.219801764513676,-0.01682192427247589,-0.014229847558646001,-0.0025920767138298897,0.24790134790892446,0.200192,0.15248265209107556,0.01147,196780.0,-23.268862330079372,0.17409,0.006755001850480332
