open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2020-11-16,0.002833,0.002847,0.002833,0.002847,38288,2020-11-22 23:59:59.999,108.794292,8,38288,108.794292,0,24.684951816160122,-0.00011572101664265779,-0.0001264689406287735,1.0747923986115698e-05,0.004254599301980937,0.00308635,0.0019181006980190627,0.6435857857142857,1798769133.3,-13.596358118361154,0.0027174,9.424064940353151e-05
2020-11-23,0.003452,9.9999,0.002957,0.003362,26509671,2020-11-29 23:59:59.999,183653.074120,12598,12785752,134979.338117,0,48.9890236857308,-6.823357066151501e-05,-0.00011471344129145471,4.64798706299397e-05,0.004219998847974045,0.00307265,0.0019253011520259553,1.357401642857143,968239752.1,20.67480258435033,0.0028592,0.0002942578800983922
2020-11-30,0.00345,0.003622,0.003255,0.003388,69272189,2020-12-06 23:59:59.999,234769.760695,32359,33695980,114401.779698,0,52.80966767371601,-2.8911272349487968e-05,-9.742544460287684e-05,6.851417225338887e-05,0.004220535720674649,0.0030729000000000004,0.0019252642793253516,0.7147952142857144,490635135.95,22.753623188405804,0.0030144,0.0003333306166555966
2020-12-07,0.003386,0.003412,0.003004,0.003147,23409883,2020-12-13 23:59:59.999,76127.335057,14750,11549800,37574.789781,0,63.01369863013701,-1.444527354515883e-05,-8.07308629754295e-05,6.628558943027067e-05,0.003687530596443351,0.00298025,0.0022729694035566487,0.7147797857142858,430136017.15,13.487197980526513,0.0031036,0.0002846125436448657
2020-12-14,0.003147,0.003147,0.003133,0.003133,4677863,2020-12-20 23:59:59.999,14668.742519,12,962014,3026.496044,0,63.56363636363637,-4.001808189299343e-06,-6.531223962809604e-05,6.13104314387967e-05,0.0036303823030370236,0.0029619,0.0022934176969629763,0.7146931428571428,411002370.9,16.08002964060763,0.0031753999999999997,0.00021821388590096842
2020-12-21,0.004713,0.004713,0.004713,0.004713,2326120,2020-12-27 23:59:59.999,10963.003560,3,0,0.000000,0,82.97076818490824,0.0001139853049941888,-2.9316743564322407e-05,0.0001433020485585112,0.004034462511413165,0.0030239,0.0020133374885868346,0.7147952857142857,352717153.25,77.84905660377359,0.0035486000000000003,0.000661521957307543
2020-12-28,0.004713,0.004713,0.00401,0.004456,5994076,2021-01-03 23:59:59.999,26961.803806,15,2326115,10365.168440,0,78.112,0.00018645083730469726,1.39675914850466e-05,0.00017248324581965065,0.004249207004130795,0.0030702,0.0018911929958692047,0.7148292142857143,284866148.1,66.89138576779025,0.0037673999999999997,0.000758227076804834
2021-01-04,0.008,0.010313,0.008,0.008,1023662,2021-01-10 23:59:59.999,8190.596730,6,781250,6250.000000,0,90.40785498489426,0.0004919390965021698,0.00010979358552524207,0.00038214551097692773,0.005802539464407018,0.0033003500000000005,0.0007981605355929832,0.7150542857142858,236022266.45,209.1190108191654,0.0046898,0.0019884970957987362
2021-01-11,0.008,0.009891,0.003108,0.009444,10512762,2021-01-17 23:59:59.999,84220.590118,39,604390,5578.519700,0,92.10591745400298,0.0008276564730200229,0.00025364441098751694,0.0005740120620325059,0.0073238652421897185,0.0036078,-0.00010826524218971812,0.7153442142857144,178011105.9,255.97436863927626,0.0059492,0.0026508596152946336
2021-01-18,0.009444,0.009444,0.009347,0.009347,1851146,2021-01-24 23:59:59.999,17431.049989,12,0,0.000000,0,91.93448318649956,0.0010729766651331176,0.0004177648258576769,0.0006552118392754408,0.008424529199708389,0.003935849999999999,-0.0005528291997083891,0.7153127142857144,136485880.8,257.8483920367534,0.007192,0.002449465758078691
2021-01-25,0.009347,0.301,0.008,0.008,25079069,2021-01-31 23:59:59.999,610822.425823,226,4989885,206926.492826,0,78.62113264104487,0.0011542028337502407,0.0005652349866528378,0.0005889678470974029,0.008998419188840227,0.00419785,-0.0006027191888402263,0.7362025714285715,80711077.75,196.18659755646058,0.0078494,0.002021514234429236
2021-02-01,0.008,0.52,0.008,0.072513,24271497,2021-02-07 23:59:59.999,955479.849351,423,10221000,484499.434047,0,97.35006028748323,0.0059225730964795175,0.0016377647906883673,0.00428480830579115,0.038570759233312546,0.00768485,-0.023201059233312546,0.772749142857143,66422233.5,2514.0230713770725,0.0214608,0.028547596355910594
2021-02-08,0.0733,0.9,0.008,0.063443,15178634,2021-02-14 23:59:59.999,1065789.014112,333,2118176,155986.101789,0,86.68260985095539,0.008912154340139256,0.00309379628757916,0.005818358052560096,0.05027436848404285,0.01072205,-0.02883026848404285,0.8364408571428571,65049867.55,2128.4158763610817,0.03254939999999999,0.03250533710485095
2021-02-15,0.061,0.08,0.039,0.054694,4957605,2021-02-21 23:59:59.999,270080.439141,115,3056390,171797.464614,0,78.38088990925988,0.010498026190088279,0.004575581461013239,0.00592244472907504,0.05724709745766688,0.013324250000000001,-0.030598597457666875,0.8393525000000002,65238906.5,1526.829268292683,0.041599399999999995,0.03071399950022791
2021-02-22,0.05663,0.05999,0.003105,0.050114,7864816,2021-02-28 23:59:59.999,312775.178836,142,1804768,94822.373666,0,74.62412869750045,0.011275773642351904,0.005916299722204386,0.005359473920147518,0.06224287168834758,0.01569645,-0.030849971688347577,0.8434105000000001,59407234.65,1379.1617473435654,0.0497528,0.0248660939373276
2021-03-01,0.04893,0.055,0.04335,0.050926,5725427,2021-03-07 23:59:59.999,285733.875504,290,1576219,79091.988512,0,74.70241186613208,0.011814825710657593,0.0070964836593754525,0.00471834205128214,0.06676607456599669,0.01811335,-0.030539374565996688,0.13016742857142857,43251894.0,1518.2395932634256,0.058338,0.009524210019733945
2021-03-08,0.056543,0.065,0.050926,0.050926,2610977,2021-03-14 23:59:59.999,146188.226950,122,971896,56647.845167,0,74.69557808993434,0.01210044743102583,0.008097601294952668,0.004002846136073162,0.07071569570352525,0.020527,-0.029661695703525243,0.1311465,20109954.25,1525.4707947654006,0.054020599999999995,0.00555989458533167
2021-03-15,0.05596,1.0,0.050926,0.058567,2136451,2021-03-21 23:59:59.999,145881.973707,83,901382,76154.281111,0,76.7347175054029,0.012761842836956694,0.009030691847510711,0.0037311509894459825,0.07550731587617221,0.023324749999999998,-0.02885781587617222,0.19890835714285715,16698075.2,1142.6692128156164,0.0530454,0.003563101429934379
2021-03-22,0.058567,1.0,0.058567,0.058567,4434080,2021-03-28 23:59:59.999,354400.502779,40,100000,100000.000000,0,76.74508365980276,0.013132691572728537,0.009851262218352627,0.0032814293543759095,0.07961664316389347,0.026118049999999997,-0.027380543163893482,0.2661525714285714,13456422.1,1214.3402154398564,0.05382,0.0043460593070044976
2021-03-29,0.058567,0.06078,0.0543,0.0543,7315378,2021-04-04 23:59:59.999,412178.228547,98,62437,3713.033452,0,73.31947592667488,0.012947249340780863,0.010470562541754233,0.00247668679902663,0.08242173924480845,0.02869435,-0.025033039244808444,0.2665025714285714,12259479.7,578.75,0.0546572,0.0038257146652619575
2021-04-05,0.0543,0.73,0.0543,0.0543,3027801,2021-04-11 23:59:59.999,199891.072312,134,428739,46276.109826,0,73.49713380600392,0.012653482029027108,0.010907204478877504,0.001746277550149604,0.08470992959193407,0.031267,-0.02217592959193406,0.31471664285714285,12408955.35,474.9682337992376,0.055332000000000006,0.0032585784477284574
2021-04-12,0.071526,2.0,0.0543,0.07717,18026272,2021-04-18 23:59:59.999,3783665.566392,1090,4272430,1194711.364651,0,77.58194433367893,0.014031064640735003,0.01153204295547268,0.002499021685262323,0.09044132327948891,0.0349574,-0.02052652327948891,0.4532768571428572,11984785.4,725.6124959880177,0.060580800000000004,0.009515897682299893
2021-04-19,0.326602,2.5,0.050926,0.050926,15583900,2021-04-25 23:59:59.999,3823676.565291,1405,3940374,1200820.392855,0,63.80984086823357,0.012931357788281056,0.011811929732168065,0.0011194280561129914,0.09117243630582147,0.0373343,-0.016503836305821466,0.6277262142857143,9300370.95,536.5749999999999,0.0590526,0.010484417380093205
2021-04-26,0.263216,0.561,0.04335,0.38303,8137469,2021-05-02 23:59:59.999,2122024.024458,727,1098170,335011.293699,0,88.74795985872994,0.037520596844435705,0.016954013106681907,0.0205665837377538,0.21847801007662218,0.056328449999999995,-0.10582111007662218,0.6646942857142857,8536750.25,428.2225256160965,0.1239452,0.14521153902221406
2021-05-03,0.3851,1.00754,0.04335,0.0435,18689708,2021-05-09 23:59:59.999,8403823.919434,2711,3024077,1758817.499567,0,52.16363148784709,0.03010608762837491,0.019584571232227753,0.010521516396147158,0.21870338797042232,0.0583468,-0.10200978797042232,0.7126364285714286,9237342.5,-31.434516022256204,0.1217852,0.14658036411880002
2021-05-10,0.55955,0.628,0.0435,0.391129,2654246,2021-05-16 23:59:59.999,1091671.716014,433,1234890,591314.536903,0,64.43666311432031,0.050882872166221935,0.025844504077556563,0.025038368088665372,0.29411944687923447,0.07766759999999999,-0.13878424687923452,0.717815,9253748.8,615.1223168903352,0.18915099999999999,0.18113826756927978
2021-05-17,0.493569,0.493569,0.352359,0.391129,924504,2021-05-23 23:59:59.999,361256.774006,98,269357,105329.921443,0,64.97067869367137,0.06657044025755159,0.03398997514179733,0.032580465115754256,0.3516285194090014,0.09700125,-0.15762601940900145,0.6641871428571429,9000270.2,680.4785089994813,0.2519428,0.18693956596905856
2021-05-24,0.391129,0.391129,0.391129,0.391129,0,2021-05-30 23:59:59.999,0.000000,0,0,0.000000,0,65.49424921040051,0.07809402511850813,0.04281103103228923,0.0352829940862189,0.39870885581102716,0.11615769999999999,-0.1663934558110272,0.6612585714285714,8949087.1,668.034010132349,0.31998340000000003,0.1545987010336762
2021-05-31,0.391129,0.49,0.30235,0.37,2647630,2021-06-06 23:59:59.999,1025419.364196,668,1123750,431246.241592,0,64.51090792632363,0.084578854044221,0.051164781929545794,0.0334140721146752,0.4335761293168456,0.1341855,-0.16520512931684556,0.6705989285714287,8555830.5,626.5443977536032,0.3173774,0.1533752455329738
2021-06-07,0.37,0.38,0.30998,0.31672,1956629,2021-06-13 23:59:59.999,645065.788560,225,569157,192343.265620,0,61.50928297886713,0.08453097521778474,0.0578381396438736,0.026692835573911146,0.45348466211871996,0.14955415,-0.15437636211871997,0.6747682142857142,8561104.65,440.7823518363584,0.3720214,0.03223985124500408
2021-06-14,0.31672,0.3457,0.2,0.28116,4448893,2021-06-20 23:59:59.999,1334820.921010,325,2105941,619223.317460,0,59.67163311360432,0.08074647078827205,0.06241987126541213,0.018326599522859914,0.4649010957795719,0.16321215,-0.1384767957795719,0.6841700714285714,7529595.85,380.06556593303395,0.35002760000000005,0.049065490604904685
