open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2025-04-04 00:00:00,1815.85,1900.0,1780.0,1793.0,181862.187,2025-04-04 03:59:59.999,327409845.70496,38890,84437.585,152168804.73540,0,29.753478154747356,-14.052844738018848,-7.424682384894726,-6.6281623531241225,1938.744246771715,1854.0595,1769.374753228285,150.03500000000003,3524647.7528999997,-4.3860818557525665,1802.3200000000002,13.629198435717074
2025-04-04 04:00:00,1793.0,1898.0,1784.18,1816.73,381357.211,2025-04-04 07:59:59.999,691683207.35540,34955,218115.828,397013113.81124,0,35.640522875817,-13.542879150754288,-8.659712883835228,-4.88316626691906,1938.95120554303,1853.762,1768.5727944569699,154.6992857142857,2497624.4357000003,-2.6023042240533525,1802.466,13.8150218964775
2025-04-04 08:00:00,1816.72,1898.0,1780.0,1782.3,438274.158,2025-04-04 11:59:59.999,793330792.74167,46751,188178.402,345047013.20180,0,35.05963288005914,-15.29612632283147,-9.99686199057867,-5.299264332252799,1941.8561828747047,1851.1985,1760.5408171252952,149.26214285714286,1766151.2434999999,-4.609752573015853,1798.664,16.556528319673824
2025-04-04 12:00:00,1782.3,1898.8,1597.56,1794.51,1373724.293,2025-04-04 15:59:59.999,2460992629.47031,133877,653044.686,1180069473.69657,0,38.70730928822215,-15.644991850713495,-11.133195692841788,-4.511796157871707,1942.2686400173784,1848.1740000000002,1754.079359982622,168.9192857142857,700894.8576999999,-5.488932075650568,1800.4779999999998,15.185544771267105
2025-04-04 16:00:00,1794.51,1890.0,1730.0,1812.1,301888.532,2025-04-04 19:59:59.999,547136996.33142,49890,194569.306,354121256.31899,0,41.4060354560156,-14.52202870144265,-11.814178143261245,-2.7078505581814056,1940.106149987421,1845.279,1750.451850012579,178.57714285714286,674583.87155,-5.619791666666671,1799.7279999999998,14.303522992611285
2025-04-04 20:00:00,1812.1,1879.88,1810.0,1816.2,85698.393,2025-04-04 23:59:59.999,157643184.93695,13129,69389.431,128019053.06139,0,36.31479454780619,-13.193045385808773,-12.090997385299081,-1.1020480005096918,1929.360374490002,1840.1934999999999,1751.0266255099978,173.49714285714285,656624.0854,-2.3023130715438387,1804.368,15.303397335237307
2025-04-05 00:00:00,1816.2,1879.88,1816.18,1828.0,49162.002,2025-04-05 03:59:59.999,90096874.18725,12095,28958.493,53389744.35064,0,34.24981168253099,-11.175332152284454,-11.907309175146125,0.7319770228616704,1919.2770989073008,1836.137,1752.996901092699,167.52428571428575,642411.30175,-1.4130083054686682,1806.622,18.14542421659364
2025-04-05 04:00:00,1828.0,1879.88,1815.0,1815.28,73001.226,2025-04-05 07:59:59.999,133225282.18776,14551,39521.267,72364832.48758,0,41.032898515054555,-10.374283263206962,-11.599960870155256,1.2256776069482935,1908.695146082994,1831.6704999999997,1754.6458539170055,152.14928571428572,639429.6917999999,-0.029188075844938224,1813.218,12.071566592622764
2025-04-05 08:00:00,1815.28,1890.0,1810.0,1810.0,92720.22,2025-04-05 11:59:59.999,169601680.12948,16127,61251.820,112469039.60741,0,40.95226398100384,-10.00630918866159,-11.280612824900759,1.2743036362391695,1903.1543656852818,1828.408,1753.661634314718,144.58928571428575,622681.5951500001,-0.3303964757709251,1816.316,6.9869363815708425
2025-04-05 12:00:00,1810.43,1880.0,1784.03,1786.03,477702.329,2025-04-05 15:59:59.999,858081049.06122,18698,271405.650,488883545.25035,0,43.52158022972503,-11.330751977828868,-11.290656196851716,-0.04009578097715227,1899.3655780469753,1824.446,1749.5264219530245,134.64500000000004,388152.41955,-0.848271535715672,1811.102,15.482306675690616
