open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2025-04-04 00:00:00,83.4,92.4,82.84,84.0,25038.433,2025-04-04 03:59:59.999,2099853.66446,2261,4266.971,357012.18990,0,48.30105334692491,-0.7192464147359203,-0.3486859219403096,-0.3705604927956107,97.52751572434892,85.787,74.0464842756511,13.938571428571432,170241.73115,-2.3255813953488373,82.856,0.9035651609040241
2025-04-04 04:00:00,84.0,95.0,84.0,84.72,26854.722,2025-04-04 07:59:59.999,2265299.97398,1841,10032.857,850288.85881,0,48.92581403155422,-0.6421907442341563,-0.40793334744675075,-0.2342573967874056,97.53592669950999,85.80199999999999,74.06807330049,13.916428571428574,167654.06615000003,-1.4883720930232571,83.19999999999999,1.2377196774712507
2025-04-04 08:00:00,84.73,92.29,84.0,84.0,56305.484,2025-04-04 11:59:59.999,4749382.19401,3890,16019.658,1359504.49170,0,48.34162520729685,-0.6231764060341476,-0.4513019630654901,-0.1718744429686575,97.53592669950999,85.80199999999999,74.06807330049,13.837142857142856,164331.4008,0.0,83.63,1.0025966287593238
2025-04-04 12:00:00,84.0,92.4,82.37,84.48,74906.603,2025-04-04 15:59:59.999,6288824.70061,4184,17277.273,1450658.54671,0,48.749588680487,-0.5684318092891232,-0.47486703594815105,-0.09356477334097213,97.54254460704655,85.816,74.08945539295345,13.622142857142858,159287.4154,-22.98997265268915,84.116,0.5162170086306699
2025-04-04 16:00:00,84.52,110.7,83.51,85.0,49292.987,2025-04-04 19:59:59.999,4270713.23962,2735,17487.167,1490843.60042,0,50.843170320404724,-0.4834551773275848,-0.4765928139803741,-0.006862363347210687,97.32017846311746,85.6495,73.97882153688255,14.712857142857144,148472.14909999998,-2.0737327188940062,84.44,0.44181444068705744
2025-04-04 20:00:00,85.0,111.7,60.8,85.0,53663.198,2025-04-04 23:59:59.999,3755390.85847,1015,6276.260,471354.87075,0,13.24404761904762,-0.41168969736035876,-0.46356296527974644,0.05187326791938768,97.27242409133655,85.5995,73.92657590866347,16.512857142857147,110725.75390000001,2.4096385542168677,84.64,0.41856899072869147
2025-04-05 00:00:00,85.0,93.5,85.0,85.24,7411.526,2025-04-05 03:59:59.999,630870.66550,351,868.407,74704.29494,0,42.870201096892124,-0.33414726111008974,-0.43760136030939695,0.1034540991993072,97.23388265488693,85.5615,73.88911734511306,15.19857142857143,104459.9804,2.1694833992568476,84.744,0.5000799936006689
2025-04-05 04:00:00,85.0,94.7,85.0,85.0,8424.477,2025-04-05 07:59:59.999,716801.36748,382,798.961,68625.12212,0,63.55013550135502,-0.2868378948139707,-0.40737558577179894,0.12053769095782824,97.1845409603992,85.5115,73.83845903960079,13.41357142857143,99494.06285,1.6989710457047162,84.944,0.27942798714456957
2025-04-05 08:00:00,85.0,93.5,85.0,85.0,11463.269,2025-04-05 11:59:59.999,976535.58432,562,2766.062,237262.25427,0,61.29496402877695,-0.246606137009465,-0.37515938081616274,0.12855324380669775,97.13429748186489,85.4615,73.78870251813511,13.527142857142858,84087.7985,2.4096385542168677,85.048,0.1073312629184883
2025-04-05 12:00:00,85.0,96.3,85.0,85.0,55027.35,2025-04-05 15:59:59.999,4677682.37437,1210,332.192,28499.68727,0,60.44117647058825,-0.21234813968268895,-0.3425466668589713,0.13019852717628233,97.0831521628485,85.4115,73.7398478371515,13.677142857142858,79094.14665000001,3.8485033598045275,85.048,0.1073312629184883
2025-04-05 16:00:00,85.0,97.82,85.0,85.0,55635.139,2025-04-05 19:59:59.999,4729142.87617,1017,78.628,6817.93927,0,66.07717041800643,-0.1831396296909844,-0.31062574323593,0.1274861135449456,97.11624789178438,85.4615,73.80675210821562,13.900000000000002,78071.9503,3.5953686776355918,85.048,0.1073312629184883
2025-04-05 20:00:00,85.0,99.17,85.0,85.0,47400.017,2025-04-05 23:59:59.999,4029147.10006,1050,60.837,5272.09451,0,81.06508875739655,-0.15820504717173378,-0.28011138406549857,0.12190633689376479,86.6287382107219,84.2265,81.8242617892781,14.157857142857145,66888.83345,1.942911969297199,85.0,0.0
2025-04-06 00:00:00,85.0,96.3,85.0,85.0,54245.971,2025-04-06 03:59:59.999,4611127.60500,1006,299.552,25670.07010,0,80.28747433264896,-0.13689240869997832,-0.2514448770456256,0.11455246834564731,86.25033687066652,84.1365,82.02266312933348,14.512857142857143,53691.525,1.1904761904761905,85.0,0.0
2025-04-06 04:00:00,85.0,95.0,73.8,83.0,50770.809,2025-04-06 07:59:59.999,4304470.33632,1174,976.461,78256.60603,0,46.570397111913394,-0.2667551977597924,-0.25450888323310034,-0.01224631452669206,86.25033687066652,84.1365,82.02266312933348,15.318571428571428,47710.4065,-2.03021718602455,84.6,0.8944271909997069
2025-04-06 08:00:00,83.0,91.3,83.0,83.0,48502.368,2025-04-06 11:59:59.999,4026796.71024,1745,891.751,75042.42406,0,39.83739837398371,-0.36521025629404846,-0.27666038999362635,-0.08854986630042211,86.26748693375818,84.115,81.96251306624181,15.228571428571428,47153.720649999996,-1.1904761904761905,84.2,1.0954451150101416
2025-04-06 12:00:00,83.0,96.88,83.0,83.0,174454.37,2025-04-06 15:59:59.999,14482351.07040,4401,1131.114,96428.13873,0,29.523809523809476,-0.4379976339383802,-0.30894093332661926,-0.12905670061176094,86.28398376508532,84.086,81.88801623491467,15.434285714285712,54269.39075,-1.751893939393944,83.8,1.0954451150101217
2025-04-06 16:00:00,83.0,103.6,58.0,74.0,464490.061,2025-04-06 19:59:59.999,35888560.27752,9332,176456.817,13831385.85306,0,9.935897435897402,-1.1666929558611656,-0.4805470271949096,-0.686145928666256,88.65062870536107,83.636,78.62137129463892,18.099285714285713,74292.4798,-12.941176470588237,81.6,4.335896677735676
