open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2021-03-01,0.01474,0.02655,0.01474,0.01474,5972203,2021-03-07 23:59:59.999,128468.58648,18,4817101,111442.38300,0,45.80093312597201,8.480502268337284e-05,0.00018348003277961837,-9.867501009624554e-05,0.02246236424641064,0.0177325,0.013002635753589363,0.003988571428571429,271201370423.8,-12.522255192878342,0.018818,0.0037345977025644963
2021-03-08,0.01474,0.45232,0.01474,0.38641,7752047,2021-03-14 23:59:59.999,1665618.28272,131,7243833,1599650.52502,0,94.88465396188566,0.024451286294272283,0.005082224225278953,0.01936906206899333,0.20105419276016234,0.036063,-0.12892819276016237,0.034755,216479215512.85,2193.2344213649853,0.09189,0.16467930926500754
2021-03-15,0.38641,0.45232,0.32892,0.40142,147025,2021-03-21 23:59:59.999,57187.18499,104,119632,46848.83838,0,95.65496117957119,0.04403154476005855,0.012929994657318497,0.03110155010274005,0.2870466226989885,0.05545599999999999,-0.1761346226989885,0.043198571428571426,183065736243.8,2282.314540059347,0.167818,0.2064855942190641
2021-03-22,0.34,0.35971,0.31516,0.32487,134768,2021-03-28 23:59:59.999,45686.02222,20,9425,3388.03925,0,80.94310053845535,0.05349430873088527,0.02109103173196531,0.03240327699891996,0.33086695630134066,0.0708995,-0.18906795630134066,0.04936,86763832821.9,1828.0118694362018,0.22984400000000002,0.19528283060730148
2021-03-29,0.32487,8.1,0.32487,0.32487,159357,2021-04-04 23:59:59.999,70187.00303,50,104332,50448.47703,0,80.94310053845535,0.060212423218730035,0.028952434454041324,0.03125998876468871,0.3683448223610064,0.0862745,-0.19579582236100643,0.6047264285714286,37518986116.9,1613.4493670886077,0.29046199999999994,0.15804124357268265
2021-04-05,0.36,0.36,0.34154,0.34313,79497,2021-04-11 23:59:59.999,27492.32224,14,66467,22801.52224,0,81.61750455444009,0.06599784975555467,0.03638961438573318,0.02960823536982149,0.4047817846175386,0.1025625,-0.1996567846175386,0.6072357142857143,24964293356.7,1709.7573839662448,0.35614,0.03567715375418842
2021-04-12,0.34313,0.34313,0.33378,0.34313,679291,2021-04-18 23:59:59.999,232925.38543,28,679291,232925.38543,0,81.54202424737774,0.06972806869558842,0.043077518196694656,0.02665055049889377,0.4364695097960709,0.11882,-0.19882950979607095,0.6076021428571429,29067811.4,1709.7573839662448,0.347484,0.03150314555722971
2021-04-19,0.34313,11.2812,0.34313,11.2812,2473369,2021-04-25 23:59:59.999,934636.50340,29,2470877,933706.94520,0,99.17175605181305,0.8471328309414574,0.2042783404178998,0.6428544905235576,5.6814184754190045,0.681907,-4.317604475419005,1.388892857142857,17073958.55,76434.59972862959,2.52344,4.895745185862924
2021-04-26,0.49293,0.92418,0.49293,0.842,395198,2021-05-02 23:59:59.999,275530.34075,231,280095,190159.22139,0,51.87984728068068,0.6969736179592949,0.30300836757257643,0.3939652503867185,5.7131772949481565,0.7231645,-4.266848294948156,2.1594835714285714,2007219.35,3900.0,2.626866,4.84286406584265
2021-05-03,0.842,0.966,0.71072,0.95,303885,2021-05-09 23:59:59.999,278808.91654,406,234535,220652.54801,0,52.12608184071595,0.5794945013620569,0.358391295260069,0.22110320610198791,5.74946724778137,0.769822,-4.209823247781369,2.177267142857143,2022413.6,4261.79981634527,2.7518920000000002,4.776187442288043
2021-05-10,0.95,1.98,0.8125,1.66,250152,2021-05-16 23:59:59.999,257698.78339,249,218193,218445.26810,0,53.61024309418065,0.53262450397052,0.39328112852372027,0.1393433754467997,5.833536437198079,0.8519795,-4.12957743719808,2.260209285714286,2034921.2,11161.872455902307,3.015266,4.644650965980113
2021-05-17,1.6453,2.4802,1.05,1.105,199056,2021-05-23 23:59:59.999,426092.27105,103,76658,174817.48385,0,52.329216853998304,0.4492554435274543,0.40448708937055583,0.04476835415689845,5.873286801551954,0.9063869999999999,-4.060512801551955,2.362314285714286,2044874.0,4973.46189164371,3.16764,4.546532926087746
2021-05-24,1.105,2.4101,1.1,1.5,494176,2021-05-30 23:59:59.999,898875.61813,269,160886,307116.45489,0,53.14130123971907,0.4079945026567138,0.40518912824028397,0.0028053744164298067,5.9357789272210955,0.980439,-3.974900927221096,2.45539,1934493.65,10076.3907734057,1.2114,0.35377930973984556
2021-05-31,1.78321,1.9629,1.0,1.54,232489,2021-06-06 23:59:59.999,417135.29349,159,135555,249635.12229,0,53.20654056383006,0.3739931469975222,0.39894597492320677,-0.024952827925684595,5.996363340864477,1.0564909999999998,-3.8833813408644775,2.523641428571428,1893103.95,298.5404104448643,1.3510000000000002,0.30607188698082255
2021-06-07,1.5,1.71,1.0,1.2326,443960,2021-06-13 23:59:59.999,612328.40860,87,29622,42572.86130,0,52.539943005302376,0.3202045192601173,0.38318969440720746,-0.06298517514709018,6.033140682982723,1.117173,-3.798794682982723,2.573512142857143,1780462.6,207.05993722285885,1.40752,0.23019828843847073
2021-06-14,1.2327,1.63,1.2326,1.3,161541,2021-06-20 23:59:59.999,232440.28000,110,64268,95976.49460,0,51.929856877239395,0.2794932915680468,0.36244199757366513,-0.08294870600561832,6.070252007016315,1.1814360000000002,-3.7073800070163148,2.570642142857143,1607927.55,300.16006402561027,1.33552,0.18293400995988002
