open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,volume_ma_20,roc_12,close_ma_5,close_std_5
2021-11-17,211.063,214.0,211.063,214.0,36,2021-11-17 23:59:59.999,7698.1260,6,29,6206.0000,0,35.44342283216086,0.2204920706755047,2.7323069171671834,-2.5118148464916787,270.74514027790167,230.2602,189.77525972209833,23.232000000000003,1963.0,-9.322033898305085,231.4562,11.422076439947423
2021-11-18,214.0,214.0,209.047,209.047,121,2021-11-18 23:59:59.999,25349.1700,13,0,0.0000,0,32.517471877630925,-1.412599849249716,1.8956083820113703,-3.3082082312610863,270.28965009039337,230.55395000000004,190.81824990960672,22.71557142857143,1952.2,-18.39839175579671,225.728,14.327690480325199
2021-11-19,219.0,226.03,197.0,216.122,337,2021-11-19 23:59:59.999,71287.0680,46,132,28798.8810,0,39.873043690903174,-2.185560688835835,1.0733070549895118,-3.258867743825347,266.15980417414335,232.15904999999998,198.1582958258566,21.217714285714287,1942.5,-13.108051060408075,221.4364,13.046522881595717
2021-11-20,217.03,217.229,197.0,197.0,193,2021-11-20 23:59:59.999,40388.0070,25,19,3743.0000,0,19.521867210514387,-4.058228055035556,0.04090581169926487,-4.099133866734821,266.15980417414335,232.15904999999998,198.1582958258566,18.174071428571434,1946.2,-19.870165262699764,212.4364,10.608051626005556
2021-11-21,197.0,234.493,196.112,234.444,300,2021-11-21 23:59:59.999,64450.7920,72,210,44665.0890,0,44.38087743458587,-2.89062815583236,-0.5481828744740828,-2.3424452813582772,264.80948621957685,233.74079999999998,202.67211378042308,19.892428571428578,1926.45,-4.319896828538666,214.1226,13.563895782554486
2021-11-22,228.864,234.445,228.864,233.389,210,2021-11-22 23:59:59.999,49211.2390,16,105,24599.8940,0,45.02538800536501,-2.022000088400091,-0.8440641250196732,-1.1779359633804178,264.586527022726,234.58125,204.57597297727403,18.856,1917.95,-3.8562306900102947,218.00039999999998,16.061674486179832
2021-11-23,233.389,233.389,233.389,233.389,40,2021-11-23 23:59:59.999,9335.5600,9,0,0.0000,0,45.32282173682434,-1.3221208605533263,-0.9399653156902374,-0.3821555448630889,263.9783550573256,234.16225,204.34614494267444,17.67357142857143,1911.4,-6.088443586029293,222.86880000000002,16.355798626175396
2021-11-24,233.389,233.389,186.0,214.0,111,2021-11-24 23:59:59.999,23922.1150,10,0,0.0000,0,39.84414740292771,-2.1356997047616346,-1.179691816617751,-0.9560078881438836,263.4594456469241,232.68635,201.91325435307593,20.570142857142862,1890.9,-9.322033898305085,222.4444,16.60033374062103
2021-11-25,214.0,214.0,205.9,213.188,183,2021-11-25 23:59:59.999,38211.8380,32,54,11470.3980,0,37.06602433631557,-2.8032409527912137,-1.505030941241064,-1.2982100115501496,263.4711803313535,231.54575,199.6203196686465,20.44014285714286,1622.2,-10.30763017064387,225.68199999999996,11.046917013357241
2021-11-26,213.188,213.188,180.0,199.598,186,2021-11-26 23:59:59.999,35215.4170,68,54,10468.6530,0,36.777910152844775,-4.271135018124653,-2.059109151118911,-2.212025867005742,261.4680053100037,228.71665000000002,195.96529468999634,21.916357142857148,241.1,-15.987035945786682,218.71280000000002,14.56786850228955
2021-11-27,199.598,199.598,180.1,180.1,173,2021-11-27 23:59:59.999,33684.2700,7,0,0.0000,0,31.4789085716491,-6.783632239716127,-3.005184953954884,-3.778447285761243,263.1851808931314,225.28539999999998,187.38561910686855,20.88050000000001,239.3,-25.57851239669422,208.055,19.726284140709247
2021-11-28,188.104,188.104,180.1,180.1,135,2021-11-28 23:59:59.999,24940.3640,9,0,0.0000,0,31.500791719769808,-8.66737101837984,-4.138744790126372,-4.528626228253467,263.6113229714713,221.99785000000003,180.38437702852877,20.452785714285717,230.55,-20.314318202935233,197.3972,16.79458326961388
2021-11-29,205.0,212.432,205.0,212.432,191,2021-11-29 23:59:59.999,39923.6720,23,160,33536.0670,0,41.933213291864455,-7.658986190088257,-4.8433513169228855,-2.8156348731653713,260.7176006006451,220.368,180.01839939935488,21.16871428571429,215.5,-0.7327102803738373,197.0836,16.417464993110062
2021-11-30,212.432,215.29,180.0,215.29,251,2021-11-30 23:59:59.999,51651.8930,32,181,37616.1260,0,46.84879012113482,-6.570700915919531,-5.189040343173024,-1.3816605727465072,257.9836848794824,218.99499999999998,180.00631512051757,21.208928571428576,224.4,2.986409754744146,197.504,16.95118172871716
2021-12-01,215.29,238.0,192.0,233.28,5667,2021-12-01 23:59:59.999,1200336.1300,44,5454,1153575.8500,0,55.47360292531143,-4.304443847693932,-5.012031289824116,0.7075874421301842,255.3424570894494,218.233,181.1235429105506,23.426785714285717,502.4,7.93903443425472,204.2404,23.441481198934422
2021-12-02,226.21,227.0,222.39,227.0,85,2021-12-02 23:59:59.999,19081.0900,12,56,12580.8700,0,55.05875059877709,-2.952535418583409,-4.599964961614923,1.6474295430315138,254.19706632781234,217.783,181.36893367218764,23.850857142857144,487.0,15.228426395939088,213.62040000000002,20.575049472601474
2021-12-03,235.9,237.88,222.65,222.65,46,2021-12-03 23:59:59.999,10310.1300,18,22,4898.3000,0,51.86813186813187,-2.1881706598116466,-4.117449516039752,1.9292788562281054,252.3181832721073,217.0311,181.74401672789273,22.86514285714286,448.0,-5.03062565047516,222.1304,8.502155656067474
2021-12-04,193.65,202.26,180.0,185.0,360,2021-12-04 23:59:59.999,66771.9300,35,43,8619.9800,0,46.89518132141083,-4.408736378070586,-4.175722016852065,-0.2330143612185207,251.05149986239456,214.40210000000002,177.75270013760547,24.46664285714286,451.25,-20.733196508832897,216.644,18.86300161692191
2021-12-05,185.0,185.0,180.0,180.0,162,2021-12-05 23:59:59.999,29494.7200,17,34,6290.0000,0,33.07131663391459,-6.474846288984395,-4.635642393003502,-1.8392038959808934,248.60529112580616,211.30210000000002,173.9989088741939,22.082285714285717,444.55,-22.875542549134707,209.586,25.07550557815329
2021-12-06,187.0,194.18,163.0,194.18,131,2021-12-06 23:59:59.999,23453.1600,20,18,3396.9300,0,38.72844666501848,-6.937981320994908,-5.096186699649994,-1.8417946213449135,247.08718652772745,209.71044999999998,172.3337134722725,23.910785714285712,445.9,-9.261682242990652,201.76600000000002,21.710027176399272
2021-12-07,200.0,221.0,182.35,192.04,586,2021-12-07 23:59:59.999,107686.4700,37,45,8568.3400,0,38.257728504165975,-7.384317653831346,-5.55387372752734,-1.8304439263040058,246.74126088584353,208.61245,170.48363911415646,26.6715,473.4,-9.919882920239411,194.774,16.573330383480357
2021-12-08,192.04,193.51,172.36,193.51,4,2021-12-08 23:59:59.999,751.4200,3,2,387.0200,0,43.52197281062283,-7.536336206469798,-5.950408390113817,-1.585927816355981,246.55566086010873,207.83559999999997,169.1155391398912,24.797285714285717,467.55,-3.0501307628333056,188.946,6.1927279933799335
2021-12-09,194.0,197.0,193.51,193.51,52,2021-12-09 23:59:59.999,10080.4600,18,0,0.0000,0,43.746583787769005,-7.568935565189605,-6.274141365284735,-1.29479419990487,245.72563705002102,206.705,167.684362949979,24.468,453.3,7.4458634092171,190.648,6.003638063707032
2021-12-10,193.51,195.0,193.51,193.51,578,2021-12-10 23:59:59.999,111850.2700,14,0,0.0000,0,47.882405320421846,-7.507716097214654,-6.5208731033626846,-0.9868429938519698,245.7645079254559,206.5305,167.2964920745441,22.203857142857146,472.55,7.4458634092171,193.35,0.7876864858512567
2021-12-11,193.51,193.51,177.7,177.7,248,2021-12-11 23:59:59.999,45546.7900,12,2,355.4000,0,49.14322433242896,-8.595528025522242,-6.935826680016232,-1.6597013455060097,242.63387609445988,203.6933,164.7527239055401,21.940428571428573,469.95,-16.349702493033067,190.054,6.935368050795263
2021-12-12,177.7,177.7,177.7,177.7,1,2021-12-12 23:59:59.999,177.7000,1,0,0.0000,0,49.14322433242896,-9.348905488119357,-7.418463463433596,-1.9304420246857603,238.86035375371728,200.90884999999997,162.95734624628267,21.368714285714287,459.5,-17.46017000325143,187.18599999999998,8.659493634156144
